Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit,Profit Margin,Order Month,Order Year
ORD-10769,10-05-2025,12-05-2025,Standard,CUST-1308,Consumer,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Paper,Envelope Pack,2,0.15,84.37,4.9,0.058077516,2025-05,2025
ORD-10975,10-12-2023,14-12-2023,Standard,CUST-1475,Consumer,India,Pune,Maharashtra,West,Technology,Printers,Laser Printer,3,0.15,254.19,21.05,0.08281207,2023-12,2023
ORD-12061,09-07-2023,10-07-2023,Standard,CUST-1315,Home Office,India,Mumbai,Maharashtra,West,Furniture,Office Furniture,Reception Desk,4,0,540.23,106.4,0.19695315,2023-07,2023
ORD-11021,30-08-2023,01-09-2023,Second Class,CUST-1561,Consumer,India,Nagpur,Maharashtra,Central,Technology,Computers,Laser Printer,3,0.05,613.99,110.91,0.180638121,2023-08,2023
ORD-11016,19-07-2024,22-07-2024,Same Day,CUST-1251,Corporate,India,Hyderabad,Telangana,South,Technology,Accessories,Smartphone,4,0,1680.72,346.22,0.20599505,2024-07,2024
ORD-11367,23-10-2023,27-10-2023,Same Day,CUST-1520,Corporate,India,Bengaluru,Karnataka,South,Office Supplies,Binders,Sticky Notes,3,0,121.1,16.15,0.133360859,2023-10,2023
ORD-10502,09-10-2024,10-10-2024,Second Class,CUST-1032,Corporate,India,Bengaluru,Karnataka,South,Office Supplies,Paper,Ball Pen Set,5,0.2,576.75,27.94,0.048443866,2024-10,2024
ORD-10870,11-02-2024,14-02-2024,Standard,CUST-1397,Home Office,India,Delhi,Delhi,North,Furniture,Office Furniture,Standing Desk,1,0.1,357.61,33.2,0.092838567,2024-02,2024
ORD-12278,05-03-2025,08-03-2025,Standard,CUST-1406,Consumer,India,Nagpur,Maharashtra,Central,Furniture,Tables,Bookshelf,3,0.3,605.03,-81.42,-0.134571839,2025-03,2025
ORD-11643,18-01-2025,21-01-2025,Second Class,CUST-1027,Corporate,India,Pune,Maharashtra,West,Technology,Phones,USB-C Hub,4,0,400.79,92.68,0.231243294,2025-01,2025
ORD-10683,09-07-2023,10-07-2023,First Class,CUST-1233,Corporate,India,Bhopal,Madhya Pradesh,Central,Technology,Computers,Business Laptop,1,0,46.28,9.82,0.21218669,2023-07,2023
ORD-10698,25-10-2024,29-10-2024,Standard,CUST-1080,Corporate,India,Nagpur,Maharashtra,Central,Technology,Printers,USB-C Hub,5,0.05,373.5,62.21,0.166559572,2024-10,2024
ORD-10835,23-04-2023,28-04-2023,Second Class,CUST-1246,Consumer,India,Jaipur,Rajasthan,North,Technology,Accessories,Mechanical Keyboard,3,0.1,153.72,28.72,0.186833203,2023-04,2023
ORD-11794,22-07-2023,24-07-2023,Same Day,CUST-1186,Consumer,India,Pune,Maharashtra,West,Technology,Computers,USB-C Hub,2,0,725.53,158.91,0.219026091,2023-07,2023
ORD-11969,21-10-2024,23-10-2024,Standard,CUST-1472,Corporate,India,Lucknow,Uttar Pradesh,North,Technology,Computers,Wireless Headset,1,0.1,236.85,37.09,0.156597002,2024-10,2024
ORD-11682,31-05-2023,03-06-2023,Same Day,CUST-1008,Consumer,India,Kolkata,West Bengal,East,Furniture,Storage,Bookshelf,3,0.2,593.76,10.42,0.017549178,2023-05,2023
ORD-11496,26-03-2025,30-03-2025,Standard,CUST-1509,Corporate,India,Mumbai,Maharashtra,West,Office Supplies,Writing,Printer Paper,1,0,86.88,17.35,0.199700737,2025-03,2025
ORD-11158,09-04-2023,14-04-2023,Standard,CUST-1391,Consumer,India,Mumbai,Maharashtra,West,Technology,Computers,Smartphone,5,0.05,547.61,91.24,0.166614927,2023-04,2023
ORD-10225,05-02-2024,07-02-2024,Standard,CUST-1026,Corporate,India,Pune,Maharashtra,West,Furniture,Storage,Conference Table,3,0.3,565.78,-28.59,-0.050532009,2024-02,2024
ORD-12146,08-03-2025,11-03-2025,Standard,CUST-1517,Consumer,India,Bengaluru,Karnataka,South,Furniture,Chairs,Filing Cabinet,3,0.05,565.72,58.93,0.10416814,2025-03,2025
ORD-12065,26-11-2025,30-11-2025,First Class,CUST-1127,Home Office,India,Bengaluru,Karnataka,South,Furniture,Chairs,Reception Desk,2,0.05,749.79,64.13,0.085530615,2025-11,2025
ORD-10245,19-07-2024,22-07-2024,Same Day,CUST-1392,Corporate,India,Jaipur,Rajasthan,North,Furniture,Office Furniture,Executive Chair,1,0.15,377.79,12.96,0.034304772,2024-07,2024
ORD-10399,28-11-2025,30-11-2025,Same Day,CUST-1511,Home Office,India,Lucknow,Uttar Pradesh,North,Office Supplies,Binders,Notebook,3,0.15,572.71,41.67,0.072759337,2025-11,2025
ORD-12352,15-10-2024,19-10-2024,Second Class,CUST-1313,Consumer,India,Mumbai,Maharashtra,West,Technology,Printers,Smartphone,1,0.05,1170.53,119.56,0.102141765,2024-10,2024
ORD-10046,12-11-2024,16-11-2024,First Class,CUST-1349,Consumer,India,Jaipur,Rajasthan,North,Technology,Printers,Mechanical Keyboard,2,0,323.46,67.14,0.207568169,2024-11,2024
ORD-10116,16-05-2025,19-05-2025,Standard,CUST-1473,Consumer,India,Bengaluru,Karnataka,South,Office Supplies,Paper,Notebook,4,0,224.72,25.07,0.111561054,2025-05,2025
ORD-10580,01-03-2025,03-03-2025,Standard,CUST-1446,Home Office,India,Nagpur,Maharashtra,Central,Furniture,Chairs,Executive Chair,2,0.1,428.24,36.5,0.08523258,2025-03,2025
ORD-11757,28-02-2025,03-03-2025,Standard,CUST-1253,Consumer,India,Bhopal,Madhya Pradesh,Central,Technology,Computers,USB-C Hub,2,0.05,819.13,154.4,0.188492669,2025-02,2025
